adulterant_or_substitute,food,distinct_articles,share_of_candidate_food_links_pct,candidate_total_food_link_articles
rapeseed oil,Ghee,2,66.67,3
oil,Paneer,2,66.67,3
synthetic flavours,fruit juices,2,66.67,3
cheese analogues,Cheese,2,66.67,3
chlorophyll,olive oil,2,66.67,3
trans fat,hydrogenated vanaspati,1,33.33,3
laboratory esters,Ghee,1,33.33,3
human waste,juice,1,33.33,3
human waste,lentils,1,33.33,3
human waste,bread,1,33.33,3
trans fat,processed foods,1,33.33,3
trans fat,fried items,1,33.33,3
carrot extract,Ghee,1,33.33,3
chemical esters,dairy fat,1,33.33,3
chemical esters,laddu,1,33.33,3
carrot extract,lard,1,33.33,3
carrot extract,Palm oil,1,33.33,3
additives,ginger garlic paste,1,33.33,3
fungal infestation,cooked chicken,1,33.33,3
rice flour,turmeric powder,1,33.33,3
mineral oil,Mustard oil,1,33.33,3
synthetic colors,garam masala,1,33.33,3
synthetic oils,Milk,1,33.33,3
chemical esters,Ghee,1,33.33,3
sorbic acid,biscuits,1,33.33,3
synthetic food colour,Ghee,1,33.33,3
malachite green,fish,1,33.33,3
plastic,Milk,1,33.33,3
plastic,meat,1,33.33,3
intoxicants,Milk,1,33.33,3
nanoplastics,carrots,1,33.33,3
nanoplastics,radishes,1,33.33,3
nanoplastics,lettuce,1,33.33,3
synthetic flavours,protein supplements,1,33.33,3
hydrogenated oils,protein supplements,1,33.33,3
chemical,fish,1,33.33,3
toxins,Milk,1,33.33,3
auramine,saffron,1,33.33,3
auramine,turmeric,1,33.33,3
malachite green,sweets,1,33.33,3
auramine,locally prepared snacks,1,33.33,3
toxins,fermented foods,1,33.33,3
bacillus cereus,cooked rice,1,33.33,3
bacillus cereus,pasta,1,33.33,3
aflatoxin,maize,1,33.33,3
aflatoxin,wheat,1,33.33,3
aflatoxin,Milk,1,33.33,3
oil,Milk,1,33.33,3
toxins,feed,1,33.33,3
arrowroot,Paneer,1,33.33,3
bacillus cereus,rice,1,33.33,3
chalk powder,turmeric powder,1,33.33,3
chalk powder,salt,1,33.33,3
malachite green,green veggies,1,33.33,3
plastic,rice,1,33.33,3
chalk powder,ice cream,1,33.33,3
chemical,Milk,1,33.33,3
arrowroot,laddu,1,33.33,3
arrowroot,maida,1,33.33,3
chemical,chemical laced fish,1,33.33,3
chlorophyll,extra virgin olive oil,1,33.33,3
worms,besan flour,1,33.33,3
worms,atta,1,33.33,3
worms,dals,1,33.33,3
cheese analogues,mcdonald s kedgaon branch products,1,33.33,3
other oils,Mustard oil,1,33.33,3
rapeseed oil,olive oil,1,33.33,3
cheap refined oil,Ghee,2,100.0,2
palm kernel fat,Ghee,2,100.0,2
unidentified liquid substances,Paneer,2,100.0,2
animal body fats,Ghee,2,100.0,2
artificial ghee essence,Ghee,2,100.0,2
